Number,Year,Date,State,Sublocation,Location,Lat,Long,Description,Source,Type,Rioter Classification,Target Classification,Actions,Recorded # Killed,Recorded # Injured,Persons Named as Rioters,Persons Named as Targets,Note
11,1849,,California,San Francisco,San Francisco,37.752148,-122.44147,"Summer: Company of veterans called ""the Hounds"" attack hispanics from Chile, Peru, and Mexico. At least one killed.","Pitt. ""Beginnings of Nativism,"" p.26",Racial; Ethnic/National; Religious,White; Anglo; Military; Veteran; Gang,Chilean; Hispanic; Catholic; Mexican; Peruvian,Lethal Violence,1,,,,
12,1849,1849/12,California,Dry Diggings,Dry Diggings,38.72751,-120.7998,December: A Mexican hanged for alleged theft.,"Placer Times (Auburn), 19 Jan. 1850; Rough Abstract of a Forty-Niner Diary as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Thief,Lethal Violence,1,,,,PTH
13,1849,,California,Sarage's Diggings,Sarage's Diggings,37.83648,-120.23159,Late: Unknown Mexican hanged for allegedly stealing a mule.,"Calif. Historical Marker 446; Weston, Mother Lode Album as listed in William D. Carrigan and Clive Webb, Forgotten Dead: Mob Violence against Mexicans in the United States, 1848-1928 (Oxford: Oxford University Press, 2013).",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Thief,Lethal Violence,1,,,,PTH
1,1850,1850/08,New York,New York City,NYC,40.720368,-74.001098,"August: Striking tailors ransack a store that made non-union clothing. Police intervened and a general battle ensued. Two strikers fatally wounded, others seriously injured. 32 German tailors arrested and ultimately plead guilty to A+B. Fines levied ranging from $5 to $50.","Degler. ""Labor,"" p.81",Ethnic/National; Labor; Law,Worker; Tailor; Union; German,Worker; Tailor; Non-Union; Strikebreaker; Legal; Law Officer,Lethal Violence; Non-Lethal Violence; Strike,2,,,,
2,1850,1850/04,California,Sacramento,"Sacramento, California",38.58275,-121.418853,"August: A party of 40 squatters attempted to regain possession of property one of their number had been evicted from. The sheriff and his men opposed them. A gun battle ensued. At least two died and several wounded. On the next day, when the sheriff attempted to arrest several of tese rioters at a hotel, another gun battle erupted. The sheriff was killed, while two squatters perished.","Hittell, p.673-676; H+W p.130-132",Land,Squatter,Legal; Law Officer; Sheriff,Lethal Violence; Non-Lethal Violence,5,,,,
3,1850,1850/01,Texas,Brownsville,"Brownsville, TX",25.91386,-97.48877,January: A small group of men whipped and then killed Juan Chapa Guerra under the mistaken impression that he was Juan Chapa García.,"Report of the Committee of Investigation of the Mexican Government as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic,Lethal Violence; Non-Lethal Violence,1,,,Juan Chapa Guerra; Juan Chapa García,PTH
4,1850,1850/05,Missouri,Clay Co.,"Clay Co., MO",39.29333,-94.40306,May: Hanging of enslaved woman for allegedly assualting mistress with an ax,"R. Douglas Hurt, Agriculture and Slavery in Missouri's Little Dixie (Columbia, MO: University of Missouri Press, 1992), 248 as listed in Pfeifer, The Roots of Rough Justice.",Slavery; Racial; Law; Vigilante,White; Vigilante,Black; Slave; Woman; Alleged Criminal; Alleged Assailant,Lethal Violence,1,,,,PTH
5,1850,1850/06,Virginia,Culpepper County,Culpepper County,38.47631,-77.99381,"June: A black man named Grayson arrested for the murder of David W. Miller on ""wholly insufficient"" evidence. After the murder, ""bystanders, under the great excitement of the moment, forgetful of the mild spirit of our law"" tortured the accused man. Statements made during this torture used against Grayson. The court ordered a new trial, but a mob stormed the jail and hanged Grayson themselves.","Supreme Court of Appeals of Virginia, 1850-1851 Cases: Volume VII, 318-319",Racial; Vigilante; Law,White; Vigilante,Black; Legal; Jail; Alleged Criminal; Alleged Murderer,Lethal Violence; Extraction,1,,,Grayson,PTH
6,1850,1850/07,Texas,Brownsville,"Brownsville, TX",25.91386,-97.48877,July: Hanging of Francisco Flores for alleged murder.,"Wisconsin Democrat, Aug. 1850 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,Francisco Flores,PTH
1,1851,1851/01,California,Agua Fria,"Agua Fria, CA",37.48485,-120.02009,"January: A mob of 500 anglos and 200 ""foreigners"" hanged a man named Pablo for alleged murder.","Sacremento Transcript, 21 Jan 1851 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante; White; Anglo,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,Pablo,PTH
2,1851,,Georgia,Columbus,"Columbus, GA",32.46252,-84.99167,"Hanging of Jarrett, and enslaved man, for alleged rape","Wyatt-Brown, Southern Honor, 389 as listed in Pfeifer, Roots of Rough Justice.",Slavery; Racial; Vigilante; Law,White; Vigilante,Black; Alleged Criminal; Alleged Sexual Assailant,Lethal Violence,1,,,Jarrett,PTH
3,1851,1851/04,California,Calaveras Co.,"Calaveras Co., California",38.222055,-120.663704,April: An organized company of French soldiers forcibly ejected by 900 Americans storming their encampment. Two French and one American killed.,"Pitt. ""Beginnings of Nativism,"" p.34",Ethnic/National; Religious,American,French; Catholic; Military,Lethal Violence; Non-Lethal Violence,3,,,,
4,1851,1851/05,New Jersey,Hoboken,"Hoboken, NJ",40.737621,-74.031269,"May: Rowides assault large body of Turnverein Germans celebrating Pentecost with a picnic. Germans counter-attacked, and drove the rowdies off. Germans demolished furnishing of house where rowdies hid. Rowdies destroyed a German's house. Reinforced, the rowdies continued the battle and tried to prevent the Germans from returning to NYC. At least one killed, maybe as many as 4. Plenty more wounded.",H+W p.309-312,Ethnic/National,American; German,American; German,Lethal Violence; Property Destroyed; Non-Lethal Violence,4,,,,
5,1851,1851/06,California,Jackson,"Jackson, CA",38.35064,-120.77226,June: Anglo vigilance committee hanged a Mexican man for alleged murder.,"Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,White; Vigilante; Anglo,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,,PTH
6,1851,1851/06,California,Shaw's Flat,"Shaw's Flat, CA",38.00751,-120.4094,"June: On 15 June, a crowd of between one and three thousand lynched Antonio Cruz and Patricio Janori for the alleged murder of an Anglo.","San Francisco Herald, 28 June and 1 July 1851 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante; White; Anglo,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,2,,,Antonio Cruz; Patricio Janori,PTH
7,1851,1851/06,California,San Francisco,San Francisco,37.752148,-122.44147,"June: After a merchant caught an Australian thief robbing his safe, a group of merchants held a vigilante trial, found the man guilty and hanged him. One of the leaders cried, at the moment of execution, ""Every lover of liberty and good order lay hold of this rope.""","Senkewicz.Vigilantes, p.5",Ethnic/National; Vigilante; Law,American; Merchant; Vigilante,Australian; Thief,Lethal Violence; Seized Person(s),1,,,,
8,1851,1851/07,California,Downieville,"Downieville, California",39.560148,-120.828421,"July: Miners lynched a Mexican woman, Josefa Segovia, because she was an ""evil body who corrupted innocent young American men.""","Pitt. ""Beginnings of Nativism,"" p.34 and Carrigan and Webb, Forgotten Dead.",Racial; Law; Vigilante; Ethnic/National; Religious,White; Anglo; Miner,Mexican; Hispanic; Woman; Catholic,Lethal Violence,1,,,Josefa Segovia,PTH Edits
9,1851,1851/07,Texas,Austin,"Austin, TX",30.26248,-97.74838,July: Hanging of enslaved man for alleged murder,"Enda Junkins, ""Slave Plots, Insurrections, and Acts of Violence in the State of Texas, 1828-1865"" (MA thesis, Baylor University, 1969), 40 as listed in Pfeifer, The Roots of Rough Justice.",Racial; Slavery; Vigilante; Law,White; Vigilante,Black; Slave; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,,PTH
10,1851,1851/08,California,San Francisco,San Francisco,37.752148,-122.44147,"August: Vigilantes ""rescue and murder two prisoners.""","Senkewicz.Vigilantes, p.89",Vigilante; Law,Vigilante,Prisoner; Legal; Jail,Lethal Violence; Extraction,2,,,,
11,1851,1851/09,Pennsylvania,Christiana,"Christiana, PA",39.95409,-75.996213,"September: A marshal, a posse and a slave owner attempt to get fugitive slaves at William Parker's. 15-25 black people engage in a gun battle with them. One white person - the slave owner - killed, several others seriously wounded.",Katz.Resistance at Christiana,Slavery; Racial,Black; Anti-Slavery; Abolitionist,Slavecatcher; Slaveholder; Legal; Law Officer; Marshal,Lethal Violence,1,,William Parker,,
12,1851,1851/11,California,Campo Seco,Campo Seco,38.22704,-120.85346,"November: On the 15th, a man named Domingo lynched by a mob for alleged murder.","New York Times, 6 Jan 1852 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,Domingo,PTH
13,1851,1851/12,California,Rich Gulch,Rich Gulch,38.33071,-120.63041,"December: On the 22nd, two Mexicans hanged by a vigilance committee for alleged murder.","Journals of Alfred Doten as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,2,,,,PTH
1,1852,1852/11,California,Los Angeles,Los Angeles,34.022624,-118.367045,November: Mexican-American bandits kill local judge. Some bandits apprehended. Several taken from court house and hanged.,"Bleen. ""Vigilantism,"" 57 (1972), 17",Racial; Law; Ethnic/National; Religious,Mexican; American; Hispanic; Vigilante; Alleged Bandit; ALleged Criminal,Legal; Judge; Prisoner; Mexican; American; Hispanic; Alleged Bandit; Alleged Criminal,Lethal Violence,,,,,
2,1852,1852/02,New Mexico,Belen,"Belen, NM",34.66193,-106.77129,February: Patricio Chaves and Domingo Ramón Apodaca hanged for unknown reason on 16 February.,"Archives of the Archdiocese of Sante Fe; Santa Fe Weekly Gazette, 1 Jan 1853 as listed in Carrigan and Webb, Forgotten Dead.",Racial; Ethnic/National; Religious,Unknown,Mexican; Hispanic; Catholic,Lethal Violence,2,,,Patricio Chaves; Domingo Ramón Apodaca,PTH
3,1852,1852/04,Texas,Rio Grande City,"Rio Grande City, TX",26.38219,-98.81923,"April: Mexican hanged by vigilantes for alleged murder, ""in the presence of the 'whole people - all concurring'""","New York Times, 13 May 1852 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,,PTH
4,1852,1852/04,Texas,Rio Grande City,"Rio Grande City, TX",26.38219,-98.81923,April: A Mexican accused of murder captured in Mexico and returned to Texas to be lynched.,"New York Times, 13 May 1852 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,,PTH
5,1852,1852/04,Texas,Rio Grande City,"Rio Grande City, TX",26.38219,-98.81923,April: Six Mexicans shot by Anglos for allegedly murdering Thomas Harris.,"New York Times, 13 May 1852 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante; White; Anglo,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,6,,,,PTH
6,1852,1852/04,California,Mokelumne Hill,"Mokelumne Hill, CA",38.30089,-120.70668,"April: On the 1st, A vigilance committee convicted and hanged Carlos Esclava for alleged theft. A crowd of between 800 and 1000 estimated to be present.","Alta California (San Francisco), 3 April 1852 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante; Vigilance Committee,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Thief,Lethal Violence,1,,,Carlos Esclava,PTH
7,1852,1852/04,California,Mokelumne Hill,"Mokelumne Hill, CA",38.30089,-120.70668,"April: On the 12th, a man named Flores was taken from officers and hanged for alleged murder.","San Francisco Herald, 3 May 1852 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer; Legal,Lethal Violence; Seized Person(s); Extraction,1,,,Flores,PTH
8,1852,1852/04,California,Snelling,"One hundred miles from Snelling, CA",37.51972,-120.4382,"April: On the 29th, two Mexicans tracked for over one hundred miles and lynched for alleged murder.","San Joaquin Republican, 5 May 1852; Collins, Sam Ward as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,2,,,,PTH
9,1852,1852/05,California,Yreka,Klamath river near Yreka,41.73165,-122.63781,"May: John Balthus, described as a ""Half-breed Mexican,"" convicted for theft of $800 in gold by a vigilance committee. The vigilantes shot and killed Balthus.","Alta California (San Francisco), 18 May 1852 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Mixed Race; Hispanic; Catholic; Alleged Criminal; Alleged Thief,Lethal Violence,1,,,John Balthus,PTH
10,1852,1852/06,California,Jackson,"Jackson, CA",38.35064,-120.77226,"June: On the 10th, a mob of mostly French goldseekers lynched José Cheverino for alleged murder.","Nevada Journal (Nevada City) , 16 June 1852 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National,Vigilante; French,Mexican; Hispanic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,José Cheverino,PTH
11,1852,1852/06,California,Jackson,"Jackson, CA",38.35064,-120.77226,"June: On the 11th, Cruz Flores lynched for allegedly being an accomplice to murder.","Sacramento Daily Union, 12 and 14 June 1852 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Accomplice,Lethal Violence,1,,,Cruz Flores,PTH
12,1852,1852/07,California,Santa Cruz,"Santa Cruz, CA",36.97415,-122.02227,"July: On the 20th, Domingo Hernandez lynched by a vigilance committee for alleged theft.","Los Angeles Star, 7 Aug. 1852, as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante; Vigilance Committee,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Thief,Lethal Violence,1,,,Domingo Hernandez,PTH
13,1852,1852/07,California,Santa Cruz,"Santa Cruz, CA",36.97415,-122.02227,"July: On the 21st, Vigilantes removed Capistrano Lopez and an unknown Mexican from jail and lynched them for alleged horse theft.","Sacramento Daily Union, 28 July 1852 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Thief; Legal; Jail,Lethal Violence; Seized Person(s); Extraction,2,,,Capistrano Lopez,PTH
14,1852,1852/07,California,Sutter's Creek,"Sutter's Creek, CA",38.39187,-120.80431,"July: On the 21st, a vigilance committee lashed a Mexican, Pansa, 75 times and hanged him for alleged murder.","Sacramento Daily Union, 23 July 1852 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante; Vigilance Committee,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence; Non-Lethal Violence; Torture,1,,,Pansa,PTH
15,1852,1852/07,California,Los Angeles,Los Angeles,34.022624,-118.367045,"July: On the 24th, a vigilance committee lynched Doroteo Zavaleta and Jesús Rivas for alleged murder.","Los Angeles Star, 31 July 1852, as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante; Vigilance Committee,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,2,,,Doroteo Zavaleta; Jesús Rivas,PTH
16,1852,1852/11,California,Los Angeles,Los Angeles,34.022624,-118.367045,"November: On the 29th, Reyes Feliz hanged for alleged murder.","Sacramento Union, 16 Dec. 1852 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,Reyes Feliz,PTH
17,1852,1852/12,California,Los Angeles,Los Angeles,34.022624,-118.367045,"December: On the 12th, Cipriano Sandoval, Benito Lopez, and Barumas all lynched for alleged murder.","San Joaquin Republican, 18 Dec. 1852 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,3,,,Cipriano Sandoval; Benito Lopez; Barumas,PTH
18,1852,,New Mexico,Mora,"Mora, NM",35.97255,-105.33211,"Late: Gabriel Luhan and José de la Cruz Vigil (a ""Hispanicized Navajo"") hanged for alleged murder.","Santa Fe Weekly Gazette, 18 Dec. 1852 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Native; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,2,,,Gabriel Luhan; José de la Cruz Vigila,PTH
1,1853,1853/12,Iowa,Council Bluffs,"Council Bluffs, Iowa",41.259611,-95.862668,"May: Mob seized Baltimore Muir, tried him for the murder of a fellow traveller on a wagon train and hanged him.","Black.Lynching, p.182-183",Vigilante; Law,Vigilante,Unknown,Lethal Violence; Seized Person(s),1,,,Baltimore Muir,PTH edits
2,1853,1853/12,Illinois,Lasalle,"Lasalle, Illinois",41.330127,-89.09299,"December: Irish canal workers, angered by a 20% cut in pay, attacked the contractor's house and beat him to a pulp. Before order could be restored, authorities killed one rioter.","Grimsted. ""Antebellum Workers,"" p.10,11,23,24;NY Tribune, December 15, 1852",Labor; Religious; Ethnic/National,Irish; Catholic; Worker; Canal Worker,Contractor,Lethal Violence; Non-Lethal Violence,1,1,,,
3,1853,1853/01,California,Yankee Camp,"Yankee Camp, CA",39.02946,-120.86116,"January: ""Big Bill"" lynched for alleged murder.","Sacramento Daily Democratic State Journal, 31 Jan 1853 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,Big Bill,PTH
4,1853,1853/01,California,Murphy's Camp,"Murphy's Camp, CA",38.13807,-120.45999,January: Unknown Mexican lynched for alleged murder.,"Elias S. Ketchum Diary as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,,PTH
5,1853,1853/02,California,Angel's Camp,"Angel's Camp, CA",38.0726,-120.53938,"February: On the 1st, an unknown Mexican lynched after confessing to have aided outlaw Joaquin Murrieta.","Boessenecker, Gold Dust as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Accessory,Lethal Violence,1,,,,PTH
6,1853,1853/02,California,Monterey,"Montery, CA",36.60231,-121.89565,"February: On the 8th, two unknown Mexicans seized from authorities after alleged horse theft. The men were lynched.","Gonzales-Day, Lynching in the West as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Thief; Alleged Horse Thief; Legal,Lethal Violence; Seized Person(s); Extraction,2,,,,PTH
7,1853,1853/02,California,Jackson,"Jackson, CA",38.35064,-120.77226,"February: On the 15th, vigilance committee hanged Antonio Valencia for alleged murder.","Sacramento Union, 17 Feb. 1853 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante; Vigilance Committee,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,Antonio Valencia,PTH
8,1853,1853/02,California,San Andreas,"San Andreas, CA",38.19664,-120.67932,"February: On the 20th, Juan Sanchez lynched for admitting to being a part of Joaquin Murrieta's outlaw band.","Placer Herald (Auburn), 5 Mar. 1853 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer;,Lethal Violence,1,,,Juan Sanchez,PTH
9,1853,1853/05,Texas,Ft. Bend,"Ft. Bend, TX",29.61938,-95.63617,May: Hanging of young enslaved man for alleged murder of master,"Junkins, ""Slave Plots, "" 44 as listed in Pfeifer, The Roots of Rough Justice.",Racial; Slavery; Vigilante; Law,White; Vigilante,Black; Slave; Youth; Alleged Criminal; Alleged Murderer,Lethal Violence,1,,,,PTH
10,1853,1853/05,Texas,Ft. Bend,"Ft. Bend, TX",29.61938,-95.63617,"May: An enslaved, black preacher hanged for allegedly influencing young man to murder master","Junkins, ""Slave Plots, "" 44 as listed in Pfeifer, The Roots of Rough Justice.",Racial; Slavery; Vigilante; Law,White; Vigilante,Black; Slave; Religious,Lethal Violence,1,,,,PTH
11,1853,1853/07,California,Jackson,"Jackson, CA",38.35064,-120.77226,"July: On the 25th, Palonio Sanchez, an alleged horse thief, seized from authorities and lynched.","Sacramento Daily Union, 29 July, 1853 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Thief; Alleged Horse Thief; Legal,Lethal Violence; Seized Person(s); Extraction,1,,,Palonio Sanchez,PTH
12,1853,1853/08,Missouri,Boone Co.,"Boone Co., MO",38.96198,-92.33266,August: Enslaved man hanged for alleged attempted rape,"Hurt, Agriculture and Slavery, 249 as listed in Pfeifer, The Roots of Rough Justice.",Slavery; Racial; Vigilante; Law,White; Vigilante,Black; Slave; Alleged Criminal; Alleged Sexual Assailant,Lethal Violence,1,,,,PTH
13,1853,1853/08,Texas,Smith Co.,"Smith Co., Texas",32.4017,-95.25006,August: Hanging of enslaved man for alleged rape and murder,"Junkins, ""Slave Plots, "" 44 as listed in Pfeifer, The Roots of Rough Justice.",Slavery; Racial; Vigilante; Law,White; Vigilante,Black; Slave; Alleged Criminal; Alleged Sexual Assailant; Alleged Murderer,Lethal Violence,1,,,,PTH
14,1853,1853/09,California,Martinez,"Martinez, CA",38.01647,-122.13061,"September: On the 4th, José Maria Ochoa lynched for alleged murder.","Gonzales-Day, Lynching in the West as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer;,Lethal Violence,1,,,José Maria Ochoa,PTH
15,1853,1853/10,California,San Luis Obispo,"San Luis Obispo, CA",35.2807,-120.6605,"October: On the 13th, Bernardo Daniel, Higuerro, and three unknown Mexicans lynched for the alleged ""murder of San Jose dry goods peddler.""","Los Angeles Star, 22 Oct. 1853, 10 Dec. 1853; Nevada Journal (Nevada City), 4 Nov. 1853 as listed in Carrigan and Webb, Forgotten Dead.",Vigilante; Law; Racial; Ethnic/National; Religious,Vigilante,Mexican; Hispanic; Catholic; Alleged Criminal; Alleged Murderer;,Lethal Violence,5,,,Bernardo Daniel; Higuerro,PTH
